Date,Open,High,Low,Close,Volume,Adj Close
2015-05-20,14.63,14.845,14.53,14.835,9567600,14.435
2015-05-19,14.785,14.935,14.765,14.865,11484700,14.464
2015-05-18,14.28,14.76,14.19,14.74,10990900,14.342
2015-05-15,14.455,14.485,14.11,14.21,9966800,13.827
2015-05-14,14.25,14.50,14.15,14.46,6757600,14.07
2015-05-13,14.335,14.615,14.26,14.33,11559700,13.943
2015-05-12,14.42,14.45,14.20,14.305,11701800,13.919
2015-05-11,14.735,14.735,14.415,14.49,10310200,14.099
2015-05-08,14.545,14.78,14.305,14.77,9073900,14.372
2015-05-07,14.33,14.54,14.13,14.47,10252900,14.08
2015-05-06,14.22,14.46,14.08,14.43,10410600,14.041
2015-05-05,14.835,14.94,14.20,14.205,13761700,13.822
2015-05-04,14.785,14.98,14.53,14.90,6366500,14.498
2015-05-01,14.74,14.74,14.74,14.74,000,14.342
2015-04-30,14.505,14.825,14.425,14.74,11156800,14.342
2015-04-29,14.92,15.085,14.475,14.495,12460700,14.104
2015-04-28,15.58,15.64,14.74,14.89,18408800,14.488
2015-04-27,15.485,15.64,15.265,15.62,7321800,15.199
2015-04-24,15.445,15.59,15.305,15.49,6102200,15.072
2015-04-23,15.53,15.57,15.24,15.35,6326300,14.936
2015-04-22,15.39,15.57,15.165,15.53,7203200,15.111
2015-04-21,15.56,15.61,15.27,15.325,6810400,14.912
2015-04-20,15.51,15.57,15.35,15.535,5735200,15.116
2015-04-17,15.815,15.85,15.39,15.405,10767400,14.989
2015-04-16,15.73,16.015,15.595,15.835,8273500,15.408
2015-04-15,15.96,15.96,15.71,15.825,6010800,15.398
2015-04-14,15.94,16.065,15.775,15.87,8642900,15.442
2015-04-13,15.45,15.975,15.425,15.955,9056800,15.525
2015-04-10,15.52,15.645,15.405,15.45,7091300,15.033
2015-04-09,15.285,15.50,15.22,15.50,5966100,15.082
2015-04-08,15.335,15.365,15.185,15.19,5648600,14.78
2015-04-07,15.22,15.385,15.145,15.33,6054500,14.917
2015-04-06,15.085,15.085,15.085,15.085,000,14.678
2015-04-03,15.085,15.085,15.085,15.085,000,14.678
2015-04-02,15.00,15.105,14.875,15.085,4439000,14.678
2015-04-01,14.90,15.195,14.865,14.965,7960500,14.561
2015-03-31,15.05,15.215,14.96,14.965,9604100,14.561
2015-03-30,15.08,15.195,15.025,15.14,7249900,14.732
2015-03-27,14.955,15.195,14.955,15.045,7901100,14.639
2015-03-26,15.00,15.045,14.64,14.935,12798100,14.532
2015-03-25,15.20,15.225,15.015,15.175,8917200,14.766
2015-03-24,14.78,15.205,14.725,15.17,11522400,14.761
2015-03-23,14.94,14.94,14.705,14.78,7582100,14.381
2015-03-20,14.79,15.005,14.63,14.89,28752900,14.488
2015-03-19,14.725,14.895,14.66,14.815,9761800,14.415
2015-03-18,15.00,15.05,14.665,14.805,12185000,14.406
2015-03-17,15.40,15.43,14.715,15.02,16934100,14.615
2015-03-16,15.50,15.585,15.34,15.37,9009900,14.955
2015-03-13,15.55,15.595,15.335,15.41,8944300,14.994
2015-03-12,15.665,15.665,15.44,15.495,8278800,15.077
2015-03-11,15.395,15.80,15.375,15.70,10425500,15.277
2015-03-10,15.04,15.79,14.98,15.315,21275200,14.902
2015-03-09,15.84,15.85,15.005,15.04,20273100,14.634
2015-03-06,16.12,16.18,15.915,15.955,6977000,15.525
2015-03-05,16.08,16.255,16.045,16.165,6318000,15.729
2015-03-04,16.00,16.08,15.88,16.05,6697900,15.617
2015-03-03,16.315,16.38,15.865,15.865,7249300,15.437
2015-03-02,16.41,16.44,16.17,16.26,5908500,15.821
2015-02-27,16.33,16.395,16.035,16.30,8545800,15.86
2015-02-26,16.17,16.45,16.005,16.45,6486400,16.006
2015-02-25,16.05,16.265,16.05,16.18,6715800,15.744
2015-02-24,15.95,16.155,15.84,16.13,7612700,15.695
2015-02-23,15.86,15.94,15.74,15.90,7919700,15.471
2015-02-20,15.83,15.84,15.535,15.695,11379500,15.272
2015-02-19,15.40,15.87,15.38,15.86,11704300,15.432
2015-02-18,16.235,16.24,15.38,15.435,15373800,15.019
2015-02-17,16.345,16.37,15.755,16.07,12213200,15.637
2015-02-16,16.29,16.43,16.20,16.345,8180400,15.904
2015-02-13,16.23,16.255,16.055,16.195,7120700,15.758
2015-02-12,15.94,16.32,15.93,16.105,8157400,15.671
2015-02-11,16.00,16.215,15.945,15.97,7619700,15.539
2015-02-10,15.62,16.185,15.56,16.075,10071900,15.641
2015-02-09,15.91,15.945,15.485,15.60,9775100,15.179
2015-02-06,15.83,16.07,15.77,15.97,7154000,15.539
2015-02-05,15.81,15.99,15.76,15.85,7276200,15.422
2015-02-04,15.95,16.035,15.79,16.03,8842800,15.598
2015-02-03,15.71,15.985,15.67,15.965,10840800,15.534
2015-02-02,15.57,15.78,15.36,15.60,7836700,15.179
2015-01-30,16.075,16.085,15.55,15.62,14616100,15.199
2015-01-29,15.71,16.095,15.71,16.095,8809500,15.661
2015-01-28,15.93,16.04,15.725,15.84,8686800,15.413
2015-01-27,15.86,15.875,15.62,15.83,8116900,15.403
2015-01-26,15.53,15.83,15.49,15.83,9311000,15.403
2015-01-23,15.38,15.71,15.325,15.565,12308900,15.145
2015-01-22,14.95,15.345,14.70,15.28,12552200,14.868
2015-01-21,14.90,14.92,14.59,14.92,11161100,14.518
2015-01-20,14.75,14.905,14.61,14.905,9440200,14.503
2015-01-19,14.77,14.855,14.525,14.69,7255000,14.294
2015-01-16,14.56,14.765,14.49,14.71,9221300,14.313
2015-01-15,14.47,14.655,13.90,14.595,11532200,14.201
2015-01-14,14.30,14.865,14.255,14.395,9744600,14.007
2015-01-13,14.285,14.745,14.28,14.63,12741000,14.235
2015-01-12,13.97,14.41,13.97,14.39,9719100,14.002
2015-01-09,14.095,14.30,13.87,13.97,8959800,13.593
2015-01-08,13.80,14.215,13.795,14.205,11256200,13.822
2015-01-07,13.45,13.73,13.36,13.59,7514100,13.223
2015-01-06,13.59,13.615,13.32,13.37,9121300,13.009
2015-01-05,13.93,14.18,13.50,13.52,9394100,13.155
2015-01-02,14.25,14.335,13.955,14.06,5709000,13.681
2015-01-01,14.15,14.15,14.15,14.15,000,13.768
2014-12-31,14.22,14.22,14.085,14.15,931400,13.768
2014-12-30,14.30,14.365,14.13,14.13,4127600,13.749
2014-12-29,14.43,14.465,14.145,14.435,4749200,14.046
2014-12-26,14.495,14.495,14.495,14.495,000,14.104
2014-12-25,14.495,14.495,14.495,14.495,000,14.104
2014-12-24,14.59,14.60,14.335,14.495,1188400,14.104
2014-12-23,14.37,14.565,14.305,14.565,5116900,14.172
2014-12-22,14.215,14.49,14.21,14.34,6165500,13.953
2014-12-19,14.30,14.465,13.995,14.245,21968100,13.861
2014-12-18,13.80,14.045,13.70,14.045,13332000,13.666
2014-12-17,13.515,13.70,13.40,13.52,8752800,13.155
2014-12-16,13.575,13.85,13.24,13.74,18260000,13.369
2014-12-15,13.42,13.665,13.23,13.25,10744600,12.893
2014-12-12,13.81,13.97,13.515,13.545,10407800,13.18
2014-12-11,13.64,14.01,13.635,13.985,8957000,13.608
2014-12-10,13.935,14.005,13.63,13.70,8146400,13.33
2014-12-09,14.32,14.425,13.845,13.845,14100000,13.472
2014-12-08,14.77,14.93,14.58,14.58,7541800,14.187
2014-12-05,14.32,14.725,14.26,14.715,11925800,14.318
2014-12-04,14.15,14.535,14.05,14.28,11539100,13.70
2014-12-03,14.145,14.155,14.06,14.135,5159300,13.561
2014-12-02,14.28,14.295,14.015,14.16,6039500,13.585
2014-12-01,14.08,14.33,14.065,14.17,6635400,13.595
2014-11-28,13.99,14.165,13.895,14.165,7311100,13.59
2014-11-27,13.615,13.985,13.575,13.985,6990200,13.417
2014-11-26,13.83,13.87,13.605,13.63,7447000,13.077
2014-11-25,13.80,13.88,13.695,13.83,7342000,13.268
2014-11-24,13.71,13.88,13.66,13.83,9020800,13.268
2014-11-21,13.145,13.715,13.13,13.705,15947100,13.149
2014-11-20,13.055,13.08,12.895,13.05,5664800,12.52
2014-11-19,13.00,13.11,12.84,13.03,5997000,12.501
2014-11-18,12.99,13.05,12.915,13.04,7920700,12.511
2014-11-17,12.63,13.00,12.63,12.92,7568400,12.395
2014-11-14,12.78,12.815,12.54,12.75,11114800,12.232
2014-11-13,12.86,13.06,12.68,12.735,15929300,12.218
